label,prompt_token_count,reference_kv_cache_dtype,candidate_kv_cache_dtype,reference_repeat_min_top1,candidate_repeat_min_top1,cross_modal_top1_agreement,cross_logprob_p95,cross_logprob_p99,cross_logprob_max,drift_epsilon,fraction_over_drift_epsilon,completion_exact_modal_match,completion_first_divergence,gate_status,comparability_warning_count
p00,14,auto,auto,1.0,1.0,0.8461538461538461,0.9481475830078122,1.049497375488281,1.0748348236083984,0.05,0.7692307692307693,True,,NOT_EVALUATED,0
p01,13,auto,auto,1.0,1.0,1.0,0.21921765804290766,0.2523117780685425,0.26058530807495117,0.05,0.4166666666666667,False,17,NOT_EVALUATED,0
p02,25,auto,auto,1.0,1.0,0.875,0.29626041650772067,0.38938879311084745,0.41207122802734375,0.05,0.4166666666666667,True,,NOT_EVALUATED,0
p03,12,auto,auto,1.0,1.0,0.8181818181818182,0.35332953929901123,0.3757846593856812,0.38139843940734863,0.05,0.5454545454545454,False,10,NOT_EVALUATED,0
p04,24,auto,auto,1.0,1.0,1.0,0.1740397945046424,1.0199357140064251,1.2569103240966797,0.05,0.30434782608695654,True,,NOT_EVALUATED,0
p05,22,auto,auto,1.0,1.0,0.9523809523809523,0.11212319135665894,0.9412452101707466,1.1485257148742676,0.05,0.23809523809523808,True,,NOT_EVALUATED,0
p06,22,auto,auto,1.0,1.0,0.9523809523809523,0.40565061569213867,0.8519309043884282,0.9635009765625,0.05,0.38095238095238093,True,,NOT_EVALUATED,0
p07,23,auto,auto,1.0,1.0,1.0,1.0834442138671871,1.4004291319847102,1.4764657020568848,0.05,0.45454545454545453,True,,NOT_EVALUATED,0
p08,14,auto,auto,1.0,1.0,1.0,0.4538602828979492,0.4613767623901367,0.4632558822631836,0.05,0.6923076923076923,False,5,NOT_EVALUATED,0
p09,10,auto,auto,1.0,1.0,1.0,1.2898401260375973,1.5941855239868163,1.670271873474121,0.05,0.8888888888888888,False,33,NOT_EVALUATED,0
p10,13,auto,auto,1.0,1.0,0.9166666666666666,0.40701692104339565,0.6025337553024295,0.6514129638671875,0.05,0.4166666666666667,True,,NOT_EVALUATED,0
p11,14,auto,auto,1.0,1.0,0.9230769230769231,0.3843207359313962,0.4845583915710447,0.509617805480957,0.05,0.6923076923076923,False,0,NOT_EVALUATED,0
p12,10,auto,auto,1.0,1.0,1.0,0.2447008609771728,0.26991929054260255,0.27622389793395996,0.05,0.6666666666666666,False,38,NOT_EVALUATED,0
p13,11,auto,auto,1.0,1.0,0.8,0.5150624990463254,0.6070587491989137,0.6300578117370605,0.05,0.5,False,15,NOT_EVALUATED,0
p14,22,auto,auto,1.0,1.0,0.9523809523809523,0.2539806365966797,0.6458232879638676,0.7437839508056641,0.05,0.47619047619047616,False,9,NOT_EVALUATED,0
p15,27,auto,auto,1.0,1.0,0.9615384615384616,0.7450740337371826,1.51126229763031,1.7366218566894531,0.05,0.8461538461538461,False,11,NOT_EVALUATED,0
