prompt,tokens,ref_min_self_top1,cand_min_self_top1,max_self_spread,cross_top1,p99_abs_logprob_delta,max_abs_logprob_delta,completion_exact,first_completion_divergence,reference_completion_len,candidate_completion_len
p00,14,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p01,13,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p02,25,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p03,12,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p04,24,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p05,22,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p06,22,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p07,23,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p08,14,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p09,10,1.0,1.0,0.0,1.0,0.0,0.0,True,,9,9
p10,13,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p11,14,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p12,10,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p13,11,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p14,22,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
p15,27,1.0,1.0,0.0,1.0,0.0,0.0,True,,64,64
