prompt,tokens,ref_min_self_top1,cand_min_self_top1,max_self_spread,cross_top1,p99_abs_logprob_delta,max_abs_logprob_delta,completion_exact,first_completion_divergence,reference_completion_len,candidate_completion_len
p00,14,1.0,1.0,0.0,0.7692307692307693,4.592964172363277,5.13858699798584,False,4,64,64
p01,13,1.0,1.0,0.0,0.9166666666666666,0.2454418516159058,0.24901294708251953,False,19,64,64
p02,25,1.0,1.0,0.0,1.0,0.2838633096218109,0.3055356740951538,True,,64,64
p03,12,1.0,1.0,0.0,0.8181818181818182,0.3599605083465577,0.3750462532043457,False,48,64,64
p04,24,1.0,1.0,0.0,1.0,0.4579121327400212,0.536409854888916,True,,64,64
p05,22,1.0,1.0,0.0,0.9523809523809523,0.4428461074829103,0.4941883087158203,False,55,64,64
p06,22,1.0,1.0,0.0,0.9523809523809523,0.8020629882812501,0.8294353485107422,False,26,64,64
p07,23,1.0,1.0,0.0,0.9090909090909091,0.36020951867103573,0.36487722396850586,True,,64,64
p08,14,1.0,1.0,0.0,1.0,0.3839910411834716,0.3928028345108032,True,,64,64
p09,10,1.0,1.0,0.0,1.0,0.36618133544921877,0.3799252510070801,False,0,9,64
p10,13,1.0,1.0,0.0,1.0,0.5751260787248612,0.5874956250190735,False,25,64,64
p11,14,1.0,1.0,0.0,1.0,0.13981338500976562,0.1409357786178589,False,24,64,64
p12,10,1.0,1.0,0.0,0.8888888888888888,0.4527436828613281,0.4616661071777344,False,36,64,64
p13,11,1.0,1.0,0.0,1.0,0.5114273357391358,0.5411481857299805,False,11,64,64
p14,22,1.0,1.0,0.0,1.0,0.9481618881225587,0.9841892719268799,False,3,64,64
p15,27,1.0,1.0,0.0,1.0,0.9461517333984375,1.0808582305908203,False,24,64,64
