prompt,tokens,ref_min_self_top1,cand_min_self_top1,max_self_spread,cross_top1,p99_abs_logprob_delta,max_abs_logprob_delta,completion_exact,first_completion_divergence,reference_completion_len,candidate_completion_len
p00,14,1.0,1.0,0.0,1.0,1.1342224740982045,1.2434959411621094,False,4,64,64
p01,13,1.0,1.0,0.0,1.0,0.12371998310089113,0.12755680084228516,False,17,64,64
p02,25,1.0,1.0,0.0,1.0,0.2909974241256713,0.3496370315551758,True,,64,64
p03,12,1.0,1.0,0.0,0.9090909090909091,0.17936843633651733,0.1799454689025879,False,49,64,64
p04,24,1.0,1.0,0.0,1.0,0.17326531112194068,0.1876509189605713,True,,64,64
p05,22,1.0,1.0,0.0,1.0,0.1132008790969849,0.12441253662109375,True,,64,64
p06,22,1.0,1.0,0.0,1.0,0.36806478500366235,0.4325990676879883,True,,64,64
p07,23,1.0,1.0,0.0,0.9090909090909091,0.24629466533660888,0.24651145935058594,True,,64,64
p08,14,1.0,1.0,0.0,1.0,0.15742919921874993,0.16506195068359375,True,,64,64
p09,10,1.0,1.0,0.0,0.6666666666666666,0.2936651039123535,0.3054232597351074,True,,9,9
p10,13,1.0,1.0,0.0,1.0,0.15708371996879578,0.15730106830596924,False,20,64,64
p11,14,1.0,1.0,0.0,1.0,0.11651871681213379,0.11701393127441406,False,28,64,64
p12,10,1.0,1.0,0.0,1.0,0.33263790130615234,0.3561563491821289,True,,64,64
p13,11,1.0,1.0,0.0,1.0,0.21144530296325686,0.22056198120117188,False,12,64,64
p14,22,1.0,1.0,0.0,0.8571428571428571,0.3074493408203126,0.3463613986968994,False,49,64,64
p15,27,1.0,1.0,0.0,0.9615384615384616,0.27162015438079834,0.30809831619262695,False,12,64,64
