prompt,tokens,ref_min_self_top1,cand_min_self_top1,max_self_spread,cross_top1,p99_abs_logprob_delta,max_abs_logprob_delta,completion_exact,first_completion_divergence,reference_completion_len,candidate_completion_len
p00,14,1.0,1.0,0.0,1.0,0.7322964096069333,0.7551660537719727,False,4,64,6
p01,13,1.0,1.0,0.0,1.0,0.21850309848785407,0.23032522201538086,True,,64,64
p02,25,1.0,1.0,0.0,1.0,0.43668782472610457,0.5199779272079468,True,,64,64
p03,12,1.0,1.0,0.0,0.9090909090909091,0.26137063503265384,0.267392635345459,False,29,64,60
p04,24,1.0,1.0,0.0,0.9565217391304348,0.2920145785808565,0.3280038833618164,True,,64,64
p05,22,1.0,1.0,0.0,0.9523809523809523,0.3262681007385255,0.3521547317504883,False,56,64,64
p06,22,1.0,1.0,0.0,1.0,1.2794796943664557,1.4702959060668945,False,47,64,64
p07,23,1.0,1.0,0.0,0.9545454545454546,0.2793157267570496,0.280383825302124,False,11,64,64
p08,14,1.0,1.0,0.0,1.0,0.10617321968078612,0.10783195495605469,False,0,64,64
p09,10,1.0,1.0,0.0,0.8888888888888888,0.715500955581665,0.7471928596496582,False,0,64,9
p10,13,1.0,1.0,0.0,1.0,0.39223128557205206,0.4061894416809082,False,20,64,64
p11,14,1.0,1.0,0.0,1.0,0.16547142505645743,0.1778726577758789,True,,64,64
p12,10,1.0,1.0,0.0,0.7777777777777778,0.27282899856567383,0.278414249420166,False,36,64,64
p13,11,1.0,1.0,0.0,1.0,0.2584540343284607,0.25960564613342285,False,23,64,64
p14,22,1.0,1.0,0.0,0.9047619047619048,0.40257401466369636,0.4319744110107422,False,3,64,64
p15,27,1.0,1.0,0.0,0.8846153846153846,0.46606937050819397,0.500118613243103,False,2,64,64
