label,prompt_token_count,reference_kv_cache_dtype,candidate_kv_cache_dtype,reference_repeat_min_top1,candidate_repeat_min_top1,cross_modal_top1_agreement,cross_logprob_p95,cross_logprob_p99,cross_logprob_max,drift_epsilon,fraction_over_drift_epsilon,completion_exact_modal_match,completion_first_divergence,gate_status,comparability_warning_count
p00,14,auto,auto,1.0,1.0,1.0,0.24049043655395455,0.41558160781860315,0.4593544006347656,0.05,0.38461538461538464,True,,NOT_EVALUATED,2
p01,13,auto,auto,1.0,1.0,1.0,0.057563376426696754,0.06984282970428468,0.07291269302368164,0.05,0.08333333333333333,True,,NOT_EVALUATED,2
p02,25,auto,auto,1.0,1.0,1.0,0.11511520445346826,0.16695279359817503,0.18116092681884766,0.05,0.25,True,,NOT_EVALUATED,2
p03,12,auto,auto,1.0,1.0,1.0,0.15355253219604492,0.17570714950561525,0.1812458038330078,0.05,0.8181818181818182,True,,NOT_EVALUATED,2
p04,24,auto,auto,1.0,1.0,1.0,0.04999609887599941,0.15495065689086931,0.18362998962402344,0.05,0.08695652173913043,True,,NOT_EVALUATED,2
p05,22,auto,auto,1.0,1.0,0.9523809523809523,0.09485077857971191,0.10205082893371584,0.1038508415222168,0.05,0.14285714285714285,True,,NOT_EVALUATED,2
p06,22,auto,auto,1.0,1.0,1.0,0.09278011322021484,0.11268749237060549,0.11766433715820312,0.05,0.19047619047619047,True,,NOT_EVALUATED,2
p07,23,auto,auto,1.0,1.0,1.0,0.11835145950317379,0.12151000738143922,0.12155652046203613,0.05,0.18181818181818182,True,,NOT_EVALUATED,2
p08,14,auto,auto,1.0,1.0,1.0,0.09582538604736321,0.12425388336181635,0.1313610076904297,0.05,0.23076923076923078,True,,NOT_EVALUATED,2
p09,10,auto,auto,1.0,1.0,1.0,0.10253303050994873,0.10752147197723388,0.10876858234405518,0.05,0.3333333333333333,True,,NOT_EVALUATED,2
p10,13,auto,auto,1.0,1.0,1.0,0.07842311859130859,0.08624813079833984,0.08820438385009766,0.05,0.16666666666666666,True,,NOT_EVALUATED,2
p11,14,auto,auto,1.0,1.0,0.9230769230769231,0.08351478576660151,0.09671508789062497,0.10001516342163086,0.05,0.23076923076923078,True,,NOT_EVALUATED,2
p12,10,auto,auto,1.0,1.0,1.0,0.3063695907592772,0.4286819076538086,0.4592599868774414,0.05,0.4444444444444444,True,,NOT_EVALUATED,2
p13,11,auto,auto,1.0,1.0,1.0,0.09255633354187005,0.11221396446228028,0.11712837219238281,0.05,0.2,False,32,NOT_EVALUATED,2
p14,22,auto,auto,1.0,1.0,1.0,0.07784610986709595,0.1405646443367005,0.15624427795410156,0.05,0.14285714285714285,True,,NOT_EVALUATED,2
p15,27,auto,auto,1.0,1.0,1.0,0.16117334365844727,0.2359534502029419,0.25580453872680664,0.05,0.2692307692307692,False,55,NOT_EVALUATED,2
